UT,MA,MU,Bachelor,Master,Doctorate
,,1,21950000,30400000,38500000
,,2,23500000,32300000,40450000
,1,3,25050000,34200000,42450000
,2,4,26600000,36100000,44450000
,3,5,28150000,38000000,46450000
1,4,6,29650000,39900000,48450000
2,5,7,31200000,41800000,50450000
3,6,8,32750000,43650000,52450000
4,7,9,34300000,45550000,54450000
5,8,10,35850000,47450000,56450000
6,9,11,37350000,49350000,58450000
7,10,12,38900000,51250000,60450000
8,11,13,40450000,53150000,62450000
9,12,14,42000000,55050000,64400000
10,13,15,43550000,56950000,66400000
11,14,16,45050000,58850000,68400000
12,15,17,46600000,60750000,70400000
13,16,18,48150000,62650000,72400000
14,17,19,49700000,64550000,74400000
15,18,20,51250000,66450000,76400000
16,19,21,52750000,68300000,78400000
17,20,22,54300000,70200000,80400000
18,21,23,55850000,72100000,82400000
19,22,24,57400000,74000000,84400000
20,23,25,58950000,75900000,86400000

TA,Bachelor,Master,Doctorate
1,,26600000,34500000
2,,28500000,36500000
3,21950000,30400000,38500000
4,23500000,32300000,40450000
5,25050000,34200000,42450000
6,26600000,36100000,44450000
7,28150000,38000000,46450000
8,29650000,39900000,48450000
9,31200000,41800000,50450000
10,32750000,43650000,52450000
11,34300000,45550000,54450000
12,35850000,47450000,56450000
13,37350000,49350000,58450000
14,38900000,51250000,60450000
15,40450000,53150000,62450000
16,42000000,55050000,64400000
17,43550000,56950000,66400000
18,45050000,58850000,68400000
19,46600000,60750000,70400000
20,48150000,62650000,72400000
21,49700000,64550000,74400000
22,51250000,66450000,76400000
23,52750000,68300000,78400000
24,54300000,70200000,80400000
25,55850000,72100000,82400000

TA,Tenaga Ahli Tanpa SKA
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
