,Class,,Bachelor,,Master,,Doctorate
PR,I-A,1,,,,,
,I-B,2,,,,,
,I-C,3,13650000,,,,
,I-D,4,15150000,,,,
MU,II-A,5,16650000,1,17550000,,
,II-B,6,18150000,2,19350000,,
,II-C,7,19650000,3,21150000,,
,II-D,8,21150000,4,22950000,,
MA,III-A,9,22650000,5,24750000,1,27300000
,III-B,10,24150000,6,26550000,2,29250000
,III-C,11,25650000,7,28500000,3,31200000
,III-D,12,27150000,8,30300000,4,33150000
UT,IV-A,13,28650000,9,32100000,5,35250000
,IV-B,14,30150000,10,33900000,6,37200000
,IV-C,15,31650000,11,35700000,7,39150000
,IV-D,16,33150000,12,37650000,8,41100000
KE,V-A,17,34650000,13,39450000,9,43200000
,V-B,18,36150000,14,41250000,10,45150000
,V-C,19,37650000,15,43050000,11,47100000
,V-D,20,39150000,16,44850000,12,49050000
PE,VI-A,21,40650000,17,46650000,13,51150000
,VI-B,22,42150000,18,48600000,14,53100000
,VI-C,23,43650000,19,50400000,15,55050000
,VI-D,24,45150000,20,52200000,16,57000000
,VI-E,25,46650000,21,54000000,17,59100000

PR,Ahli Pratama
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
KE,Ahli Kepala
PE,Ahli Pembina Kepala
