,Class,,Bachelor,,Master,,Doctorate
PR,I-A,1,,,,,
,I-B,2,,,,,
,I-C,3,13350000,,,,
,I-D,4,14850000,,,,
MU,II-A,5,16350000,1,17100000,,
,II-B,6,17850000,2,18900000,,
,II-C,7,19350000,3,20850000,,
,II-D,8,20850000,4,22650000,,
MA,III-A,9,22350000,5,24450000,1,26550000
,III-B,10,23850000,6,26250000,2,28500000
,III-C,11,25350000,7,28050000,3,30600000
,III-D,12,26850000,8,29850000,4,32550000
UT,IV-A,13,28350000,9,31800000,5,34500000
,IV-B,14,29850000,10,33600000,6,36450000
,IV-C,15,31350000,11,35400000,7,38550000
,IV-D,16,32850000,12,37200000,8,40500000
KE,V-A,17,34350000,13,39000000,9,42450000
,V-B,18,35850000,14,40950000,10,44400000
,V-C,19,37350000,15,42750000,11,46500000
,V-D,20,38850000,16,44550000,12,48450000
PE,VI-A,21,40350000,17,46350000,13,50400000
,VI-B,22,41850000,18,48150000,14,52350000
,VI-C,23,43350000,19,49950000,15,54450000
,VI-D,24,44850000,20,51900000,16,56400000
,VI-E,25,46350000,21,53700000,17,58350000

PR,Ahli Pratama
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
KE,Ahli Kepala
PE,Ahli Pembina Kepala
