,Class,,Bachelor,,Master,,Doctorate
PR,I-A,1,7500000,,,,
,I-B,2,8150000,,,,
,I-C,3,9100000,,,,
,I-D,4,10000000,,,,
MU,II-A,5,10900000,1,11450000,,
,II-B,6,11850000,2,12500000,,
,II-C,7,12750000,3,13500000,,
,II-D,8,13700000,4,14550000,,
MA,III-A,9,14600000,5,15550000,1,18500000
,III-B,10,15500000,6,16550000,2,19600000
,III-C,11,16450000,7,17600000,3,20700000
,III-D,12,17350000,8,18600000,4,21800000
UT,IV-A,13,18300000,9,19650000,5,22950000
,IV-B,14,19200000,10,20650000,6,24050000
,IV-C,15,20100000,11,21650000,7,25150000
,IV-D,16,21050000,12,22700000,8,26250000
KE,V-A,17,21950000,13,23700000,9,27350000
,V-B,18,22850000,14,24750000,10,28450000
,V-C,19,23800000,15,25750000,11,29600000
,V-D,20,24700000,16,26750000,12,30700000
PE,VI-A,21,25650000,17,27800000,13,31800000
,VI-B,22,26550000,18,28800000,14,32900000
,VI-C,23,27450000,19,29850000,15,34000000
,VI-D,24,28400000,20,30850000,16,35150000
,VI-E,25,29300000,21,31850000,17,36250000

PR,Ahli Pratama
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
KE,Ahli Kepala
PE,Ahli Pembina Kepala
