UT,MA,MU,TA,Bachelor,,Master,,Doctorate
,,,1,,,,,
,,,2,,,,,
,,1,3,17750000,,,,
,,2,4,19250000,,,,
,,3,5,20750000,1,29250000,,
,,4,6,22250000,2,31000000,,
,1,5,7,23750000,3,32750000,,
,2,6,8,25250000,4,34750000,1,41750000
,3,7,9,26750000,5,36500000,2,43750000
,4,8,10,28250000,6,38250000,3,45750000
1,5,9,11,29750000,7,40250000,4,47750000
2,6,10,12,31250000,8,42000000,5,49750000
3,7,11,13,32750000,9,43750000,6,51750000
4,8,12,14,34250000,10,45750000,7,53750000
5,9,13,15,35750000,11,47500000,8,55750000
6,10,14,16,37250000,12,49250000,9,57750000
7,11,15,17,38750000,13,51250000,10,59750000
8,12,16,18,40250000,14,53000000,11,61750000
9,13,17,19,41750000,15,54750000,12,63750000
10,14,18,20,43250000,16,56750000,13,65750000
11,15,19,21,44750000,17,58500000,14,67750000
12,16,20,22,46250000,18,60250000,15,69750000
13,17,21,23,47750000,19,62250000,16,71750000
14,18,22,24,49250000,20,64000000,17,73750000
15,19,23,25,50750000,21,66000000,18,75750000

TA,Tenaga Ahli
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
