UT,MA,MU,Bachelor,Master,Doctorate
,,1,24550000,32350000,41300000
,,2,26100000,34250000,43300000
,1,3,27650000,36100000,45300000
,2,4,29150000,38000000,47300000
,3,5,30700000,39900000,49300000
1,4,6,32250000,41800000,51300000
2,5,7,33800000,43700000,53300000
3,6,8,35350000,45600000,55300000
4,7,9,36850000,47500000,57300000
5,8,10,38400000,49400000,59300000
6,9,11,39950000,51300000,61250000
7,10,12,41500000,53200000,63250000
8,11,13,43050000,55100000,65250000
9,12,14,44550000,57000000,67250000
10,13,15,46100000,58850000,69250000
11,14,16,47650000,60750000,71250000
12,15,17,49200000,62650000,73250000
13,16,18,50750000,64550000,75250000
14,17,19,52300000,66450000,77250000
15,18,20,53800000,68350000,79250000
16,19,21,55350000,70250000,81250000
17,20,22,56900000,72150000,83200000
18,21,23,58450000,74050000,85200000
19,22,24,60000000,75950000,87200000
20,23,25,61500000,77850000,89200000

TA,Bachelor,Master,Doctorate
1,,28550000,37300000
2,,30450000,39300000
3,24550000,32350000,41300000
4,26100000,34250000,43300000
5,27650000,36100000,45300000
6,29150000,38000000,47300000
7,30700000,39900000,49300000
8,32250000,41800000,51300000
9,33800000,43700000,53300000
10,35350000,45600000,55300000
11,36850000,47500000,57300000
12,38400000,49400000,59300000
13,39950000,51300000,61250000
14,41500000,53200000,63250000
15,43050000,55100000,65250000
16,44550000,57000000,67250000
17,46100000,58850000,69250000
18,47650000,60750000,71250000
19,49200000,62650000,73250000
20,50750000,64550000,75250000
21,52300000,66450000,77250000
22,53800000,68350000,79250000
23,55350000,70250000,81250000
24,56900000,72150000,83200000
25,58450000,74050000,85200000

TA,Tenaga Ahli Tanpa SKA
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
