UT,MA,MU,TA,Bachelor,Master,Doctorate
,,,1,,22500000,29000000
,,,2,,24500000,31000000
,,1,3,18000000,26250000,33000000
,,2,4,19500000,28000000,35000000
,1,3,5,21000000,30000000,37000000
,2,4,6,22500000,31750000,39000000
,3,5,7,24000000,33500000,41000000
1,4,6,8,25500000,35500000,43000000
2,5,7,9,27000000,37250000,45000000
3,6,8,10,28500000,39000000,47000000
4,7,9,11,30000000,41000000,49000000
5,8,10,12,31500000,42750000,51000000
6,9,11,13,33000000,44500000,53000000
7,10,12,14,34500000,46500000,55000000
8,11,13,15,36000000,48250000,57000000
9,12,14,16,37500000,50000000,59000000
10,13,15,17,39000000,52000000,61000000
11,14,16,18,40500000,53750000,63000000
12,15,17,19,42000000,55500000,65000000
13,16,18,20,43500000,57500000,67000000
14,17,19,21,45000000,59250000,69000000
15,18,20,22,46500000,61000000,71000000
16,19,21,23,48000000,63000000,73000000
17,20,22,24,49500000,64750000,75000000
18,21,23,25,51000000,66500000,77000000

TA,Tenaga Ahli Tanpa SKA
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
