,Class,,Bachelor,,Master,,Doctorate
PR,I-A,1,,,,,
,I-B,2,,,,,
,I-C,3,14700000,,,,
,I-D,4,16200000,,,,
MU,II-A,5,17700000,1,18300000,,
,II-B,6,19200000,2,20100000,,
,II-C,7,20700000,3,22050000,,
,II-D,8,22200000,4,23850000,,
MA,III-A,9,23700000,5,25650000,1,28650000
,III-B,10,25200000,6,27450000,2,30600000
,III-C,11,26700000,7,29250000,3,32550000
,III-D,12,28200000,8,31050000,4,34650000
UT,IV-A,13,29700000,9,33000000,5,36600000
,IV-B,14,31200000,10,34800000,6,38550000
,IV-C,15,32700000,11,36600000,7,40500000
,IV-D,16,34200000,12,38400000,8,42600000
KE,V-A,17,35700000,13,40200000,9,44550000
,V-B,18,37200000,14,42000000,10,46500000
,V-C,19,38700000,15,43950000,11,48450000
,V-D,20,40200000,16,45750000,12,50550000
PE,VI-A,21,41700000,17,47550000,13,52500000
,VI-B,22,43200000,18,49350000,14,54450000
,VI-C,23,44700000,19,51150000,15,56400000
,VI-D,24,46200000,20,52950000,16,58500000
,VI-E,25,47700000,21,54900000,17,60450000

PR,Ahli Pratama
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
KE,Ahli Kepala
PE,Ahli Pembina Kepala
