UT,MA,MU,TA,Bachelor,Master,Doctorate
,,,1,,24500000,31500000
,,,2,,26500000,33500000
,,1,3,19000000,28250000,35500000
,,2,4,20500000,30000000,37500000
,1,3,5,22000000,32000000,39500000
,2,4,6,23500000,33750000,41500000
,3,5,7,25000000,35750000,43500000
1,4,6,8,26500000,37500000,45500000
2,5,7,9,28000000,39250000,47500000
3,6,8,10,29500000,41250000,49500000
4,7,9,11,31000000,43000000,51500000
5,8,10,12,32500000,44750000,53500000
6,9,11,13,34000000,46750000,55500000
7,10,12,14,35500000,48500000,57500000
8,11,13,15,37000000,50250000,59500000
9,12,14,16,38500000,52250000,61500000
10,13,15,17,40000000,54000000,63500000
11,14,16,18,41500000,55750000,65500000
12,15,17,19,43000000,57750000,67500000
13,16,18,20,44500000,59500000,69500000
14,17,19,21,46000000,61250000,71500000
15,18,20,22,47500000,63250000,73500000
16,19,21,23,49000000,65000000,75500000
17,20,22,24,50500000,66750000,77500000
18,21,23,25,52000000,68750000,79500000

TA,Tenaga Ahli Tanpa SKA
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
