,Class,,Bachelor,,Master,,Doctorate
PR,I-A,1,,,,,
,I-B,2,,,,,
,I-C,3,13050000,,,,
,I-D,4,14550000,,,,
MU,II-A,5,15900000,1,16500000,,
,II-B,6,17400000,2,18300000,,
,II-C,7,18900000,3,20250000,,
,II-D,8,20400000,4,22050000,,
MA,III-A,9,21400000,5,23850000,1,27300000
,III-B,10,23400000,6,25650000,2,29250000
,III-C,11,24900000,7,27450000,3,31350000
,III-D,12,26400000,8,29250000,4,33300000
UT,IV-A,13,27900000,9,31050000,5,35250000
,IV-B,14,29400000,10,33000000,6,37200000
,IV-C,15,30900000,11,34800000,7,39300000
,IV-D,16,32400000,12,36600000,8,41250000
KE,V-A,17,33900000,13,38400000,9,43200000
,V-B,18,35400000,14,40200000,10,43800000
,V-C,19,36750000,15,42000000,11,45900000
,V-D,20,38250000,16,43800000,12,47850000
PE,VI-A,21,39750000,17,45750000,13,49800000
,VI-B,22,41250000,18,47550000,14,51750000
,VI-C,23,42750000,19,49350000,15,53850000
,VI-D,24,44250000,20,51150000,16,55800000
,VI-E,25,45750000,21,52950000,17,57750000

PR,Ahli Pratama
MU,Ahli Muda
MA,Ahli Madya
UT,Ahli Utama
KE,Ahli Kepala
PE,Ahli Pembina Kepala
