Year,Degree,Experience,Billing
2011,Bachelor,16,32850000
2011,Bachelor,17,34350000
2011,Bachelor,18,35850000
2011,Bachelor,19,37350000
2011,Bachelor,20,38850000
2011,Bachelor,21,40350000
2011,Bachelor,22,41850000
2011,Bachelor,23,43350000
2011,Bachelor,24,44850000
2011,Bachelor,25,46350000
2011,Master,5,17100000
2011,Master,6,18900000
2011,Master,7,20850000
2011,Master,8,22650000
2011,Master,9,24450000
2011,Master,10,26250000
2011,Master,11,28050000
2011,Master,12,29850000
2011,Master,13,31800000
2011,Master,14,33600000
2011,Master,15,35400000
2011,Master,16,37200000
2011,Master,17,39000000
2011,Master,18,40950000
2011,Master,19,42750000
2011,Master,20,44550000
2011,Master,21,46350000
2011,Master,22,48150000
2011,Master,23,49950000
2011,Master,24,51900000
2011,Master,25,53700000
2011,Doctorate,9,26550000
2011,Doctorate,10,28500000
2011,Doctorate,11,30600000
2011,Doctorate,12,32550000
2011,Doctorate,13,34500000
2011,Doctorate,14,36450000
2011,Doctorate,15,38550000
2011,Doctorate,16,40500000
2011,Doctorate,17,42450000
2011,Doctorate,18,44400000
2011,Doctorate,19,46500000
2011,Doctorate,20,48450000
2011,Doctorate,21,50400000
2011,Doctorate,22,52350000
2011,Doctorate,23,54450000
2011,Doctorate,24,56400000
2011,Doctorate,25,58350000
2013,Bachelor,3,13650000
2013,Bachelor,4,15150000
2013,Bachelor,5,16650000
2013,Bachelor,6,18150000
2013,Bachelor,7,19650000
2013,Bachelor,8,21150000
2013,Bachelor,9,22650000
2013,Bachelor,10,24150000
2013,Bachelor,11,25650000
2013,Bachelor,12,27150000
2013,Bachelor,13,28650000
2013,Bachelor,14,30150000
2013,Bachelor,15,31650000
2013,Bachelor,16,33150000
2013,Bachelor,17,34650000
2013,Bachelor,18,36150000
2013,Bachelor,19,37650000
2013,Bachelor,20,39150000
2013,Bachelor,21,40650000
2013,Bachelor,22,42150000
2013,Bachelor,23,43650000
2013,Bachelor,24,45150000
2013,Bachelor,25,46650000
2013,Master,5,17550000
2013,Master,6,19350000
2013,Master,7,21150000
2013,Master,8,22950000
2013,Master,9,24750000
2013,Master,10,26550000
2013,Master,11,28500000
2013,Master,12,30300000
2013,Master,13,32100000
2013,Master,14,33900000
2013,Master,15,35700000
2013,Master,16,37650000
2013,Master,17,39450000
2013,Master,18,41250000
2013,Master,19,43050000
2013,Master,20,44850000
2013,Master,21,46650000
2013,Master,22,48600000
2013,Master,23,50400000
2013,Master,24,52200000
2013,Master,25,54000000
2013,Doctorate,9,27300000
2013,Doctorate,10,29250000
2013,Doctorate,11,31200000
2013,Doctorate,12,33150000
2013,Doctorate,13,35250000
2013,Doctorate,14,37200000
2013,Doctorate,15,39150000
2013,Doctorate,16,41100000
2013,Doctorate,17,43200000
2013,Doctorate,18,45150000
2013,Doctorate,19,47100000
2013,Doctorate,20,49050000
2013,Doctorate,21,51150000
2013,Doctorate,22,53100000
2013,Doctorate,23,55050000
2013,Doctorate,24,57000000
2013,Doctorate,25,59100000
2014,Bachelor,3,14700000
2014,Bachelor,4,16200000
2014,Bachelor,5,17700000
2014,Bachelor,6,19200000
2014,Bachelor,7,20700000
2014,Bachelor,8,22200000
2014,Bachelor,9,23700000
2014,Bachelor,10,25200000
